country;variable;percentile;year;value;age;pop
QC-MER;mgdproi999;p0p100;1950;619582933888;999;i
QC-MER;mgdproi999;p0p100;1951;653655458688;999;i
QC-MER;mgdproi999;p0p100;1952;686504118400;999;i
QC-MER;mgdproi999;p0p100;1953;715251567616;999;i
QC-MER;mgdproi999;p0p100;1954;744985436160;999;i
QC-MER;mgdproi999;p0p100;1955;801210259968;999;i
QC-MER;mgdproi999;p0p100;1956;846743667712;999;i
QC-MER;mgdproi999;p0p100;1957;899810057984;999;i
QC-MER;mgdproi999;p0p100;1958;936291731712;999;i
QC-MER;mgdproi999;p0p100;1959;965670402560;999;i
QC-MER;mgdproi999;p0p100;1960;4894409680208;999;i
QC-MER;mgdproi999;p0p100;1961;5059751997968;999;i
QC-MER;mgdproi999;p0p100;1962;5367213346512;999;i
QC-MER;mgdproi999;p0p100;1963;5590085728864;999;i
QC-MER;mgdproi999;p0p100;1964;5930234975488;999;i
QC-MER;mgdproi999;p0p100;1965;6302334910864;999;i
QC-MER;mgdproi999;p0p100;1966;6699744169936;999;i
QC-MER;mgdproi999;p0p100;1967;6898354991616;999;i
QC-MER;mgdproi999;p0p100;1968;7259589290496;999;i
QC-MER;mgdproi999;p0p100;1969;7524705419728;999;i
QC-MER;mgdproi999;p0p100;1970;7617811937664;999;i
QC-MER;mgdproi999;p0p100;1971;7905369127048;999;i
QC-MER;mgdproi999;p0p100;1972;8350300563466;999;i
QC-MER;mgdproi999;p0p100;1973;8869842224580;999;i
QC-MER;mgdproi999;p0p100;1974;8957059955952;999;i
QC-MER;mgdproi999;p0p100;1975;9016384347484;999;i
QC-MER;mgdproi999;p0p100;1976;9514808130348;999;i
QC-MER;mgdproi999;p0p100;1977;9954052880876;999;i
QC-MER;mgdproi999;p0p100;1978;10470796648060;999;i
QC-MER;mgdproi999;p0p100;1979;10871142021648;999;i
QC-MER;mgdproi999;p0p100;1980;10983782722680;999;i
QC-MER;mgdproi999;p0p100;1981;11229320453120;999;i
QC-MER;mgdproi999;p0p100;1982;11054857729200;999;i
QC-MER;mgdproi999;p0p100;1983;11383061184840;999;i
QC-MER;mgdproi999;p0p100;1984;12170537238216;999;i
QC-MER;mgdproi999;p0p100;1985;12655583593400;999;i
QC-MER;mgdproi999;p0p100;1986;13088094928480;999;i
QC-MER;mgdproi999;p0p100;1987;13564367591632;999;i
QC-MER;mgdproi999;p0p100;1988;14083098881312;999;i
QC-MER;mgdproi999;p0p100;1989;14511273002032;999;i
QC-MER;mgdproi999;p0p100;1990;14726221470448;999;i
QC-MER;mgdproi999;p0p100;1991;14812084781616;999;i
QC-MER;mgdproi999;p0p100;1992;15298876135152;999;i
QC-MER;mgdproi999;p0p100;1993;15889246332896;999;i
QC-MER;mgdproi999;p0p100;1994;16547312953248;999;i
QC-MER;mgdproi999;p0p100;1995;16945033135104;999;i
QC-MER;mgdproi999;p0p100;1996;17527265461600;999;i
QC-MER;mgdproi999;p0p100;1997;18327149299328;999;i
QC-MER;mgdproi999;p0p100;1998;19079573764736;999;i
